yacht_id,builder,length_m,price_eur,segment,age_years,location,cabins,crew_count,annual_crew_cost_eur,annual_maintenance_cost,operating_cost_ratio,charter_rate_weekly_eur,charter_demand_score,annual_charter_revenue,roi_years,fuel_consumption_lph,estimated_range_nm,efficiency_score,total_cost_5yr,investment_grade,beam_m,draft_m,gt,year_built,crew,max_speed_knots,cruise_speed_knots,fuel_capacity_l,recent_refit,price_per_meter,market_segment_score,builder_reputation_score,location_premium_mult,age_depreciation_factor,condition_factor,price_per_cabin,price_per_gt,length_to_beam_ratio,volume_efficiency,cabins_per_10m,crew_cost_per_1m_eur,maintenance_rate,fuel_efficiency,charter_yield_annual,efficiency_per_length,age_squared,log_length,log_price,log_price_per_meter,segment_encoded,builder_encoded,location_encoded,total_annual_cost,investment_return_10yr,break_even_charter_years,net_present_value,is_luxury_segment,is_large_yacht,is_efficient,is_good_investment,overall_quality_score,investment_attractiveness
YHT771,Lürssen,108.8,363640000.0,Ultra-Luxury,1.2,Caribbean,18,,605000.0,28940200.0,0.0812490544367407,423000.0,1.343,8451600.0,43.0,0.1,5370223.0,50299349.0,511363000.0,B-Grade,19.8,8.7,224.0,2023.0,11.0,18.0,14.8,576647.0,1.0,3342279.411764706,100.0,125.0,1.2,0.918,0.892,20202222.222222224,1623392.857142857,5.494949494949495,0.1039809863339275,1.6544117647058822,5560.661764705883,0.07958475415245847,53702230.0,0.023241667583324167,462310.1930147059,1.44,4.689511334421843,19.71167492521793,15.02216359079609,3,11,1,29545200.0,147723000.0,43.026172559042074,369315000.0,1,1,1,0,10059947.3,30.2
YHT300,Oceanco,98.7,355300000.0,Ultra-Luxury,2.1,Croatia,16,,550000.0,22611400.0,0.0651875316702684,416000.0,1.03,8317200.0,42.7,0.1,4490720.0,39035666.0,471110700.0,B-Grade,18.6,8.3,180.0,2022.0,10.0,18.0,16.0,569567.0,1.0,3599797.3657548125,100.0,115.0,1.03,0.863,0.949,22206250.0,1973888.888888889,5.306451612903226,0.09804882831650161,1.6210739614994933,5572.441742654509,0.06364030396847735,44907200.0,0.02340895018294399,395498.13576494425,4.41,4.592084946439436,19.688473060991257,15.09638811455182,3,12,2,23161400.0,115810700.0,42.71870340980138,289517500.0,1,1,0,0,7807207.7,30.2
YHT746,Feadship,70.1,347700000.0,Ultra-Luxury,2.0,Antibes,11,,495000.0,19812200.0,0.0584044174562739,467000.0,1.396,9332900.0,37.3,0.1,3813406.0,39842942.2,449235300.0,B-Grade,10.7,4.7,43.0,2022.0,9.0,22.0,18.6,379522.0,1.0,4960057.061340942,100.0,125.0,1.25,0.869,0.975,31609090.90909091,8086046.511627907,6.5514018691588785,0.05732798272161265,1.5691868758915837,7061.340941512126,0.05698073051481162,38134060.0,0.02684181765890135,568372.9272467904,4.0,4.249922794040544,19.66685059697809,15.416927802937545,3,7,0,20307200.0,101535300.0,37.25530113898145,253840000.0,1,1,0,0,7968665.9,30.2
YHT435,Oceanco,102.5,344620000.0,Ultra-Luxury,0.9,Dubai,17,,495000.0,22620200.0,0.0670752503701529,348000.0,1.18,6967000.0,49.5,0.1,4785970.0,36846736.9,460192000.0,B-Grade,19.8,8.3,194.0,2024.0,9.0,18.0,15.9,582885.0,0.0,3362146.3414634145,100.0,115.0,1.18,0.937,0.998,20271764.70588235,1776391.7525773195,5.1767676767676765,0.095590046809559,1.6585365853658538,4829.268292682927,0.06563809413266787,47859700.0,0.020216470315129707,359480.36,0.81,4.629862798578463,19.65795291867923,15.028090120100766,3,12,3,23115200.0,115572000.0,49.46461891775513,288940000.0,1,1,1,0,7369421.9,30.2
YHT830,Lürssen,108.7,339670000.0,Ultra-Luxury,0.5,St. Barts,18,,660000.0,14036700.0,0.0432676829809313,323000.0,1.018,6457700.0,52.6,0.1,6032117.0,65642049.2,413152200.0,B-Grade,21.5,8.1,258.0,2024.0,12.0,18.0,15.3,573127.0,0.0,3124839.006439742,100.0,125.0,1.22,0.964,0.974,18870555.555555556,1316550.3875968992,5.055813953488372,0.11039558417663292,1.655933762649494,6071.7571297148115,0.04132452085848029,60321170.0,0.019011687814643626,603882.6973321068,0.25,4.688591794127164,19.643485116013427,14.954893321886262,3,11,11,14696700.0,73482200.0,52.59922263344534,183708750.0,1,1,1,0,13128487.3,30.2
YHT309,Oceanco,106.2,327270000.0,Ultra-Luxury,3.3,Singapore,17,,605000.0,21653100.0,0.0680116212226619,376000.0,1.204,7514700.0,43.6,0.1,4148842.0,36601765.9,438559200.0,B-Grade,18.1,6.8,177.0,2021.0,11.0,18.0,14.0,466199.0,1.0,3081638.418079096,100.0,115.0,1.15,0.795,0.958,19251176.470588237,1848983.0508474577,5.8674033149171265,0.09208103130755063,1.60075329566855,5696.798493408663,0.06616280135667797,41488420.0,0.022961774681455677,344649.39642184554,10.889999999999999,4.665324108807838,19.60629607624205,14.94097196743421,3,12,8,22258100.0,111289200.0,43.55064074414148,278226250.0,1,1,0,0,7320427.7,30.2
YHT673,Lürssen,109.8,322180000.0,Ultra-Luxury,5.0,St. Barts,18,,660000.0,15745000.0,0.0509181564724327,324000.0,1.063,6473900.0,49.8,0.1,4226247.0,34904829.2,404207700.0,B-Grade,20.4,8.2,226.0,2020.0,12.0,18.0,13.8,477864.0,0.0,2934244.0801457195,100.0,125.0,1.22,0.705,0.937,17898888.888888888,1425575.2212389382,5.382352941176471,0.10089646058787816,1.639344262295082,6010.928961748634,0.04887019678440623,42262470.0,0.020094046806133217,317894.61930783244,25.0,4.69866052907543,19.590620953534092,14.891960424458663,3,11,11,16405000.0,82027700.0,49.76598341030909,205062500.0,1,1,0,0,6981043.3,30.2
YHT076,Abeking,114.6,314280000.0,Ultra-Luxury,2.3,Italian Riviera,16,35.0,2068832.938265664,22455212.14617104,0.0780324713135952,336795.3107442921,0.958534327408448,6456597.333171984,48.67579373199059,343.2650944661092,2860.6271661118253,8.333580117026019,436900225.4221835,B-Grade,,,,,,,,,,2742408.376963351,,,,,,19642500.0,,,,1.3961605584642234,18052.64344036356,0.07144970136875092,8.333580117026019,0.02054409231631661,0.07271884918870872,5.289999999999999,4.741447804280639,19.565794866271894,14.824347061991256,3,0,6,24524045.084436703,122620225.42218351,48.67579373199059,306550563.5554588,1,1,0,0,,
YHT474,Feadship,109.9,303860000.0,Ultra-Luxury,3.1,Dubai,18,,440000.0,13489500.0,0.0458422007021818,361000.0,1.18,7220300.0,42.1,0.1,6320320.0,69941062.5,373505500.0,B-Grade,18.2,6.9,171.0,2021.0,8.0,18.0,15.5,559490.0,1.0,2764877.161055505,100.0,125.0,1.18,0.802,0.982,16881111.111111112,1776959.0643274854,6.038461538461539,0.08549230569248767,1.6378525932666061,4003.639672429481,0.04439379977621273,63203200.0,0.023761929836108735,636406.3921747042,9.610000000000001,4.699570861409576,19.532077626979895,14.832506765570319,3,7,3,13929500.0,69645500.0,42.084123928368626,174118750.0,1,1,1,0,13988290.0,30.2
YHT057,Lürssen,99.3,297690000.0,Ultra-Luxury,6.8,Monaco,14,35.0,1778136.9334360384,27007456.12909501,0.0966965402349123,242520.08906740084,0.6108383970013934,2962811.648931326,100.47550613194583,316.40964362394726,2819.779090923972,8.911798827077718,441617965.3126553,B-Grade,,,,,,,,,,2997885.1963746226,,,,,,21263571.42857143,,,,1.4098690835850958,17906.716348801998,0.09072342412944677,8.911798827077718,0.009952674422826853,0.08974621175304852,46.239999999999995,4.598145571051127,19.511563234558533,14.913417663507406,3,11,7,28785593.06253105,143927965.31265533,100.47550613194583,359819913.28163815,1,1,0,0,,
YHT672,Lürssen,106.9,296530000.0,Ultra-Luxury,5.4,Monaco,17,,550000.0,14042900.0,0.0492120735235639,335000.0,1.15,6697600.0,44.3,0.1,6749019.0,73339015.2,369494700.0,B-Grade,19.5,7.7,218.0,2019.0,10.0,18.0,15.4,571711.0,0.0,2773900.8419083254,100.0,125.0,1.15,0.683,0.907,17442941.17647059,1360229.3577981652,5.482051282051282,0.10457892590727015,1.5902712815715623,5144.9953227315245,0.0473574343236772,67490190.0,0.02258658483121438,686052.527595884,29.160000000000004,4.671893818030999,19.507658951722107,14.835765133691108,3,11,7,14592900.0,72964700.0,44.274068322981364,182411250.0,1,1,1,0,14667880.5,30.2
YHT109,Heesen,118.8,289220000.0,Ultra-Luxury,21.2,Italian Riviera,16,35.0,1970071.318376484,16528802.71416606,0.0639612545209271,325901.43374398025,0.6557424296291297,4274147.959657888,67.66728777989,313.0040235591732,3087.333957050638,9.86355996943592,381714370.1627127,B-Grade,,,,,,,,,,2434511.7845117846,,,,,,18076250.0,,,,1.3468013468013469,16583.091905525962,0.057149584102641794,9.863559969435919,0.014778189473957154,0.08302659906932593,449.44,4.777441406928545,19.48269820215092,14.705256795222375,3,9,6,18498874.032542545,92494370.1627127,67.66728777989,231235925.40678182,1,1,0,0,,
YHT154,Amels,111.9,281210000.0,Ultra-Luxury,2.8,Italian Riviera,15,35.0,1965644.397003176,28022081.515835423,0.1066381917884805,319660.2681248774,0.70490561771993,4506606.375261704,62.39950343647882,317.54724581151345,5200.069370194034,16.37573444198801,431148629.564193,B-Grade,,,,,,,,,,2513047.363717605,,,,,,18747333.333333332,,,,1.3404825737265416,17566.080402173153,0.09964823980596502,16.37573444198801,0.016025768554680502,0.1463425776763897,7.839999999999999,4.71760561531788,19.454612279146144,14.737006663828263,3,2,6,29987725.9128386,149938629.564193,62.3995034364788,374846573.9104825,1,1,0,0,,
YHT908,Lazzara,102.7,275440000.0,Ultra-Luxury,0.4,Croatia,17,,605000.0,16060700.0,0.0605046643749683,309000.0,1.03,6184900.0,44.5,0.1,4256246.0,32516403.6,358772300.0,B-Grade,19.2,8.2,178.0,2024.0,11.0,18.0,14.5,542482.0,1.0,2681986.3680623174,100.0,105.0,1.03,0.97,0.974,16202352.94117647,1547415.7303370787,5.348958333333334,0.0902710159039273,1.6553067185978578,5890.944498539435,0.05830925065349985,42562460.0,0.02245461806564043,316615.4196689387,0.16000000000000003,4.631812116934513,19.43388037699454,14.80206826006003,3,10,2,16665700.0,83332300.0,44.5342689453346,208321250.0,1,1,0,0,6503352.2,30.2
YHT159,Feadship,85.7,275390000.0,Ultra-Luxury,24.0,Monaco,12,35.0,1716521.8879895366,22436004.5478035,0.0877029900715096,238406.86323688648,0.7336975563267844,3498370.65936875,78.71950310996824,295.0564523495881,4967.842955541035,16.836923632685203,396152632.1789652,B-Grade,,,,,,,,,,3213418.903150525,,,,,,22949166.666666668,,,,1.4002333722287048,20029.4269310331,0.08146993190676313,16.836923632685203,0.012703332217468864,0.1964635196345998,576.0,4.450852825603734,19.43369883277895,14.982846007175215,3,7,7,24152526.435793035,120762632.17896521,78.71950310996824,301906580.4474129,1,1,0,0,,
YHT766,Lürssen,93.3,272060000.0,Ultra-Luxury,0.5,Greek Islands,15,,440000.0,18515900.0,0.0696750357078004,312000.0,1.05,6239900.0,43.6,0.1,3955914.0,35731637.9,366840900.0,B-Grade,15.5,6.3,103.0,2024.0,8.0,18.0,14.9,451850.0,1.0,2915969.9892818863,100.0,125.0,1.05,0.966,0.943,18137333.333333332,2641359.223300971,6.019354838709678,0.07122359367977044,1.607717041800643,4715.969989281886,0.06805814893773432,39559140.0,0.02293574946702933,382975.7545551983,0.25,4.535820107853298,19.42153318816956,14.88571308031626,3,11,5,18955900.0,94780900.0,43.600057693232266,236948750.0,1,1,0,0,7146405.1,30.2
YHT962,Feadship,78.2,268520000.0,Ultra-Luxury,8.2,Antibes,13,,495000.0,16358100.0,0.0627628925987907,355000.0,1.485,7109300.0,37.8,0.1,3667641.0,28347588.3,352785500.0,B-Grade,12.5,5.6,67.0,2016.0,9.0,18.0,16.1,492035.0,0.0,3433759.590792839,100.0,125.0,1.25,0.563,0.875,20655384.615384616,4007761.194029851,6.256,0.06854219948849105,1.6624040920716112,6329.9232736572885,0.06091948458215403,36676410.0,0.026475867719350513,362501.1291560102,67.24,4.359269647551265,19.408435957034825,15.04916630948356,3,7,0,16853100.0,84265500.0,37.7702446091739,210663750.0,1,1,0,0,5669595.2,30.2
YHT241,Amels,102.4,261560000.0,Ultra-Luxury,3.8,Spanish Coast,14,35.0,1786308.8707742775,14861466.157723775,0.0636480158605981,222290.70835821063,0.9073093655458072,4033728.831344324,64.84322842119006,319.9253363889428,2883.1404509057047,9.011916603568354,344798875.14249027,B-Grade,,,,,,,,,,2554296.875,,,,,,18682857.14285714,,,,1.3671875,17444.42256615505,0.05681857377933849,9.011916603568354,0.015421810794251124,0.0880069980817222,14.44,4.628886712605407,19.38217426065735,14.753287548051942,3,2,10,16647775.028498054,83238875.14249027,64.84322842119005,208097187.85622567,1,1,0,0,,
YHT450,Feadship,111.8,255540000.0,Ultra-Luxury,3.0,Fort Lauderdale,18,,440000.0,12573600.0,0.0509265621941522,271000.0,1.18,5417700.0,47.2,0.1,5378236.0,56869428.1,320605400.0,B-Grade,21.0,7.4,250.0,2022.0,8.0,18.0,13.8,483691.0,1.0,2285688.7298747767,100.0,125.0,1.12,0.812,0.955,14196666.666666666,1022160.0,5.3238095238095235,0.10648266462219952,1.6100178890876564,3935.5992844364937,0.049204038506691715,53782360.0,0.02120098614698286,508671.09212880145,9.0,4.716711560720999,19.35888951112745,14.642177950406452,3,7,4,13013600.0,65065400.0,47.167617254554514,162670000.0,1,1,1,0,11373963.1,30.2
YHT927,Oceanco,109.1,249540000.0,Ultra-Luxury,2.9,Greek Islands,18,,660000.0,16854800.0,0.0701875550736182,292000.0,1.05,5832300.0,42.8,0.1,3340102.0,27479520.7,337116400.0,B-Grade,21.6,8.6,236.0,2022.0,12.0,18.0,13.6,401860.0,0.0,2287259.3950504125,100.0,115.0,1.05,0.816,0.976,13863333.333333334,1057372.8813559322,5.050925925925926,0.10014597548969685,1.6498625114573786,6049.495875343721,0.0675434800032059,33401020.0,0.023372204856936765,251874.61686526123,8.41,4.692264892839025,19.33512978094715,14.642864888108125,3,12,5,17514800.0,87576400.0,42.785864924643796,218935000.0,1,1,0,0,5495978.6,30.2
YHT371,Lürssen,104.4,246830000.0,Ultra-Luxury,7.3,South of France,17,,495000.0,13463300.0,0.0565495796338974,281000.0,1.12,5614100.0,44.0,0.1,6333762.0,69411310.4,316623500.0,B-Grade,17.2,7.4,148.0,2017.0,9.0,18.0,14.3,551426.0,0.0,2364272.0306513407,100.0,125.0,1.12,0.601,0.879,14519411.764705881,1667770.2702702703,6.069767441860466,0.08242003029493006,1.628352490421456,4741.379310344827,0.05454482842442167,63337620.0,0.022744804116193333,664859.2950191571,53.29,4.648229675448539,19.324210398523906,14.675980723075368,3,11,9,13958300.0,69793500.0,43.96608539213765,174478750.0,1,1,1,0,13882339.6,30.2
YHT190,Sunseeker,73.7,245050000.0,Ultra-Luxury,27.8,Spanish Coast,10,25.0,1185644.096914267,17377022.80215081,0.0757505280516836,226594.9970853197,0.9950672031986588,4509545.000169946,54.34029375264358,342.8454071722373,4235.160751019227,12.352975021455032,337863334.4953254,B-Grade,,,,,,,,,,3324966.078697422,,,,,,24505000.0,,,,1.3568521031207599,16087.43686450837,0.07091215181453095,12.352975021455032,0.018402550500591495,0.16761160137659473,772.84,4.300002799195291,19.31697282931983,15.01697003012454,3,14,10,18562666.899065074,92813334.49532539,54.34029375264358,232033336.2383134,1,1,0,0,,
YHT838,Lazzara,95.6,244390000.0,Ultra-Luxury,0.6,South of France,15,,660000.0,17402500.0,0.0739081919054949,275000.0,1.12,5505700.0,44.4,0.1,4299444.0,33517112.0,334703600.0,B-Grade,18.8,7.9,164.0,2024.0,12.0,18.0,15.5,534167.0,0.0,2556380.7531380756,100.0,105.0,1.12,0.957,0.995,16292666.666666666,1490182.9268292682,5.085106382978723,0.09124899848660198,1.5690376569037658,6903.765690376569,0.07120790539711118,42994440.0,0.02252833585662261,350597.4058577406,0.36,4.560172820057356,19.31427586789433,14.754103047836976,3,10,9,18062500.0,90313600.0,44.38854278293405,225781250.0,1,1,0,0,6703493.9,30.2
YHT091,Sunseeker,106.3,241940000.0,Ultra-Luxury,4.0,South of France,15,35.0,1941988.5711359072,23596494.656503618,0.105557093608496,252176.4639180821,0.8496595631396536,4285282.883334805,56.458349795503445,323.90093257849685,4358.471038028843,13.456185517380613,369632416.13819766,B-Grade,,,,,,,,,,2276011.2888052682,,,,,,16129333.333333334,,,,1.4111006585136407,18268.942343705618,0.09753035734687782,13.456185517380613,0.01771217195724066,0.12658688163104997,16.0,4.666265285347902,19.304200319495976,14.637935034148073,3,14,9,25538483.227639526,127692416.13819766,56.458349795503445,319231040.3454941,1,1,0,0,,
YHT519,Lazzara,78.8,239470000.0,Ultra-Luxury,2.8,Italian Riviera,13,,495000.0,15212800.0,0.0655940033770729,261000.0,1.1,5222300.0,45.9,0.1,3826733.0,34304093.2,318009200.0,B-Grade,15.0,6.1,84.0,2022.0,9.0,18.0,14.5,427447.0,0.0,3038959.390862944,100.0,105.0,1.1,0.82,0.901,18420769.230769232,2850833.3333333335,5.253333333333333,0.07106598984771574,1.649746192893401,6281.725888324873,0.0635269553597528,38267330.0,0.021807742097131166,435331.13197969546,7.839999999999999,4.366912996863833,19.2939387060091,14.927025709145267,3,10,6,15707800.0,78539200.0,45.855274495911765,196347500.0,1,1,0,0,6860890.1,30.2
YHT138,Oceanco,108.8,239440000.0,Ultra-Luxury,5.2,Italian Riviera,15,35.0,1868639.2346640069,13394488.093561357,0.0637451024399656,256823.60472371904,0.8952134465705481,4598238.886907853,52.07210975526646,286.3789668505024,3269.6883511040915,11.41734809320322,315755636.6411268,B-Grade,,,,,,,,,,2200735.294117647,,,,,,15962666.666666666,,,,1.3786764705882355,17174.99296566183,0.0559408958134036,11.417348093203218,0.019204138351603128,0.1049388611507649,27.040000000000003,4.689511334421843,19.293813421508716,14.604302087086875,3,12,6,15263127.328225363,76315636.64112681,52.07210975526646,190789091.60281703,1,1,0,0,,
YHT098,Amels,94.1,239230000.0,Ultra-Luxury,20.3,Greek Islands,13,35.0,1970684.6726314807,20961027.93386881,0.0958563416231254,218665.32688265163,0.656045270306581,2869087.069628122,83.38192400379397,337.6231413888118,3523.743482878469,10.436913383317153,353888563.03250146,B-Grade,,,,,,,,,,2542295.430393199,,,,,,18402307.692307692,,,,1.381509032943677,20942.4513563388,0.08761872647188401,10.436913383317153,0.01199300702097614,0.11091300088541077,412.09000000000003,4.544358046591334,19.292935990236764,14.74857794364543,3,2,5,22931712.60650029,114658563.03250146,83.38192400379397,286646407.58125365,1,1,0,0,,
YHT432,Lürssen,119.9,239160000.0,Ultra-Luxury,6.1,Croatia,19,,495000.0,15581500.0,0.0672217901341802,271000.0,1.03,5419000.0,44.1,0.1,6201251.0,68632009.8,319538800.0,B-Grade,18.7,7.2,195.0,2018.0,9.0,18.0,14.6,559678.0,1.0,1994662.2185154294,100.0,125.0,1.03,0.651,0.911,12587368.421052631,1226461.5384615385,6.411764705882353,0.08697087144813191,1.5846538782318598,4128.440366972477,0.06515094497407593,62012510.0,0.022658471316273625,572410.4236864053,37.209999999999994,4.786658062033468,19.292643341976977,14.50598527994351,3,11,2,16076500.0,80378800.0,44.13360398597527,200956250.0,1,1,1,0,13726479.5,30.2
YHT419,Feadship,102.1,235920000.0,Ultra-Luxury,5.7,Monaco,17,,605000.0,14177400.0,0.0626576087467884,249000.0,1.15,4988800.0,47.3,0.1,5398172.0,51451019.2,309836400.0,B-Grade,16.4,6.3,143.0,2019.0,11.0,18.0,15.7,599561.0,1.0,2310675.808031342,100.0,125.0,1.15,0.669,0.893,13877647.05882353,1649790.2097902098,6.225609756097561,0.08540168653400541,1.665034280117532,5925.563173359452,0.0600940996948118,53981720.0,0.0211461512377077,503927.71008814895,32.49,4.625952725170619,19.279003322471294,14.653050597300675,3,7,7,14782400.0,73916400.0,47.289929441949965,184780000.0,1,1,1,0,10290281.3,30.2
